region,year,week,case_per_capita(‰),O3_sum,PM10_sum,PM25_sum,SO2_sum
中彰投,2016,3,1.92,454.62,971.11,540.64,57.32
中彰投,2016,4,1.77,488.86,882.85,478.5,55.72
中彰投,2016,5,1.92,471.31999999999994,793.8199999999999,422.22,53.67
中彰投,2016,6,2.64,593.68,921.5799999999999,499.76,55.870000000000005
中彰投,2016,7,1.04,574.38,922.97,521.22,55.81
中彰投,2016,8,2.51,606.99,1156.3400000000001,656.36,57.97
中彰投,2016,9,2.36,555.1800000000001,1170.24,630.35,58.5
中彰投,2016,10,2.46,586.05,1282.34,707.81,63.03
中彰投,2016,11,2.18,539.5699999999999,1116.19,631.4599999999999,62.959999999999994
中彰投,2016,12,2.22,480.60999999999996,1058.83,627.8199999999999,59.39
中彰投,2016,13,2.33,612.42,1109.88,651.15,59.620000000000005
中彰投,2016,14,2.34,682.33,1340.31,795.68,63.269999999999996
中彰投,2016,15,1.94,716.77,1282.4,767.6099999999999,66.08
中彰投,2016,16,2.2,613.69,1171.79,686.94,62.43000000000001
中彰投,2016,17,2.05,583.2,963.22,537.1700000000001,61.050000000000004
中彰投,2016,18,2.11,623.75,1009.31,557.34,60.760000000000005
中彰投,2016,19,1.86,610.57,942.8299999999999,515.6400000000001,62.77
中彰投,2016,20,1.94,695.3199999999999,960.1600000000001,517.25,62.959999999999994
中彰投,2016,21,1.99,657.95,897.8700000000001,474.95000000000005,64.3
中彰投,2016,22,1.77,616.56,837.95,422.11,59.19
中彰投,2016,23,1.77,533.44,712.8700000000001,349.90999999999997,56.33
中彰投,2016,24,1.51,473.38,547.9300000000001,231.37,48.45
中彰投,2016,25,1.84,477.09000000000003,543.51,231.73,51.11
中彰投,2016,26,1.76,450.69,558.35,235.84,51.79
中彰投,2016,27,1.68,498.09,628.58,282.01,56.8
中彰投,2016,28,1.51,486.58,569.29,255.71999999999997,52.589999999999996
中彰投,2016,29,1.73,459.63,563.73,255.57999999999998,50.78
中彰投,2016,30,1.56,457.33,582.11,282.90999999999997,51.62
中彰投,2016,31,1.5,540.85,694.6300000000001,356.54,56.269999999999996
中彰投,2016,32,1.59,617.45,733.7800000000001,385.27,58.96000000000001
中彰投,2016,33,1.55,608.65,689.2,343.02,56.760000000000005
中彰投,2016,34,1.58,614.71,749.0600000000001,376.87,57.6
中彰投,2016,35,1.6,728.13,908.32,478.90999999999997,59.29
中彰投,2016,36,1.52,718.72,881.45,467.62,56.5
中彰投,2016,37,1.53,633.94,771.75,391.48,53.78
中彰投,2016,38,1.64,537.28,663.69,296.25,50.720000000000006
中彰投,2016,39,1.88,557.44,786.95,349.35,54.010000000000005
中彰投,2016,40,1.54,608.85,933.6400000000001,451.83000000000004,57.900000000000006
中彰投,2016,41,1.74,547.49,856.1199999999999,420.43999999999994,55.66
中彰投,2016,42,1.62,625.1800000000001,1096.11,588.5899999999999,62.760000000000005
中彰投,2016,43,1.8,603.7,1107.51,585.95,65.75999999999999
中彰投,2016,44,1.73,676.61,1238.79,646.53,67.94
中彰投,2016,45,1.66,637.79,1065.74,534.4,64.15
中彰投,2016,46,1.74,679.92,1221.96,627.35,63.67
中彰投,2016,47,1.81,598.23,1200.1200000000001,638.78,66.28999999999999
中彰投,2016,48,1.66,539.78,1143.8000000000002,586.26,61.87
中彰投,2016,49,1.68,503.08000000000004,1013.27,495.11,59.0
中彰投,2016,50,1.78,537.43,1072.04,510.39,57.53
中彰投,2016,51,1.89,556.5,1209.07,616.2099999999999,62.1
中彰投,2016,52,1.75,552.47,1229.42,622.3299999999999,59.440000000000005
中彰投,2017,1,1.95,535.16,1360.87,718.5,59.65
中彰投,2017,2,1.94,527.26,1285.38,675.68,57.31999999999999
中彰投,2017,3,2.01,524.85,1180.4099999999999,625.9300000000001,56.29
中彰投,2017,4,1.87,566.51,1024.3600000000001,527.7,55.17999999999999
