region,year,week,case_per_capita(‰),NO2_sum,O3_sum,PM25_sum,SO2_sum
中彰投,2016,1,13.28,120.87,131.39,198.22,19.85
中彰投,2016,2,47.73,106.74,175.08,162.66,18.4
中彰投,2016,3,47.97,126.92,148.15,179.76,19.07
中彰投,2016,4,49.15,109.8,165.63,136.08,18.25
中彰投,2016,5,57.13,107.68,157.54,106.38,16.35
中彰投,2016,6,72.47,94.58,270.51,257.3,21.27
中彰投,2016,7,38.59,103.13,146.33,157.54,18.19
中彰投,2016,8,76.48,122.84,190.15,241.52,18.51
中彰投,2016,9,71.16,129.33,218.7,231.29,21.8
中彰投,2016,10,69.69,122.79,177.2,235.0,22.72
中彰投,2016,11,59.74,145.85,143.67,165.17,18.44
中彰投,2016,12,57.44,129.02,159.74,227.65,18.23
中彰投,2016,13,55.18,119.73,309.01,258.33,22.95
中彰投,2016,14,61.74,97.01,213.58,309.7,22.09
中彰投,2016,15,48.75,101.06,194.18,199.58,21.04
中彰投,2016,16,47.09,96.18,205.93,177.66,19.3
中彰投,2016,17,44.64,80.35,183.09,159.93,20.71
中彰投,2016,18,43.91,88.9,234.73,219.75,20.75
中彰投,2016,19,41.86,78.17,192.75,135.96,21.31
中彰投,2016,20,40.27,82.66,267.84,161.54,20.9
中彰投,2016,21,40.53,94.19,197.36,177.45,22.09
中彰投,2016,22,36.36,48.77,151.36,83.12,16.2
中彰投,2016,23,33.49,56.71,184.72,89.34,18.04
中彰投,2016,24,31.75,50.55,137.3,58.91,14.21
中彰投,2016,25,33.46,53.8,155.07,83.48,18.86
中彰投,2016,26,31.45,55.18,158.32,93.45,18.72
中彰投,2016,27,31.16,58.6,184.7,105.08,19.22
中彰投,2016,28,29.87,42.06,143.56,57.19,14.65
中彰投,2016,29,31.33,48.75,131.37,93.31,16.91
中彰投,2016,30,30.06,55.06,182.4,132.41,20.06
中彰投,2016,31,30.91,62.6,227.08,130.82,19.3
中彰投,2016,32,31.79,61.95,207.97,122.04,19.6
中彰投,2016,33,32.59,61.91,173.6,90.16,17.86
中彰投,2016,34,34.21,58.66,233.14,164.67,20.14
中彰投,2016,35,34.82,73.84,321.39,224.08,21.29
中彰投,2016,36,36.42,61.39,164.19,78.87,15.07
中彰投,2016,37,34.44,66.16,148.36,88.53,17.42
中彰投,2016,38,32.94,75.18,224.73,128.85,18.23
中彰投,2016,39,39.43,73.27,184.35,131.97,18.36
中彰投,2016,40,33.09,86.18,199.77,191.01,21.31
中彰投,2016,41,35.76,73.9,163.37,97.46,15.99
中彰投,2016,42,38.87,97.77,262.04,300.12,25.46
中彰投,2016,43,38.37,94.35,178.29,188.37,24.31
中彰投,2016,44,39.24,85.82,236.28,158.04,18.17
中彰投,2016,45,45.19,108.27,223.22,187.99,21.67
中彰投,2016,46,43.6,128.87,220.42,281.32,23.83
中彰投,2016,47,42.4,116.04,154.59,169.47,20.79
中彰投,2016,48,41.84,109.63,164.77,135.47,17.25
中彰投,2016,49,43.52,114.45,183.72,190.17,20.96
中彰投,2016,50,44.46,115.4,188.94,184.75,19.32
中彰投,2016,51,45.78,130.3,183.84,241.29,21.82
中彰投,2016,52,46.52,115.79,179.69,196.29,18.3
中彰投,2017,1,45.91,115.75,171.63,280.92,19.53
中彰投,2017,2,46.83,118.31,175.94,198.47,19.49
中彰投,2017,3,48.12,100.35,177.28,146.54,17.27
中彰投,2017,4,52.21,104.06,213.29,182.69,18.42
中彰投,2017,5,39.71,81.86,205.47,146.77,16.49
中彰投,2017,6,50.46,97.31,222.85,232.8,18.86
中彰投,2017,7,51.04,123.13,230.94,226.89,21.5
中彰投,2017,8,44.3,113.51,187.07,203.92,17.19
中彰投,2017,9,45.92,115.65,241.12,217.94,20.33
中彰投,2017,10,46.02,124.49,224.69,244.81,19.68
中彰投,2017,11,45.63,113.32,226.56,226.96,19.13
中彰投,2017,12,44.52,107.79,252.02,204.53,19.28
中彰投,2017,13,47.26,110.99,286.33,245.06,20.64
中彰投,2017,14,49.46,98.52,304.84,243.66,21.15
中彰投,2017,15,42.41,107.12,183.55,169.32,18.97
中彰投,2017,16,37.78,72.54,195.25,158.28,17.96
中彰投,2017,17,40.91,106.7,276.1,188.73,21.27
中彰投,2017,18,40.44,101.19,240.33,204.17,21.48
中彰投,2017,19,37.45,83.43,215.64,164.19,22.07
中彰投,2017,20,37.09,88.97,248.77,119.75,18.59
中彰投,2017,21,37.69,83.62,221.84,129.35,19.72
