region,year,week,case_per_capita(‰),NO2_sum,O3_sum,PM25_sum,SO2_sum
中彰投,2016,4,9.94,464.33,620.25,676.72,75.57
中彰投,2016,5,11.21,451.14000000000004,646.4,584.88,72.07
中彰投,2016,6,14.44,438.98,741.8299999999999,679.52,74.94
中彰投,2016,7,7.9,415.19,740.01,657.3000000000001,74.06
中彰投,2016,8,15.06,428.23,764.53,762.74,74.32
中彰投,2016,9,13.77,449.88,825.69,887.6500000000001,79.77
中彰投,2016,10,13.05,478.09000000000003,732.38,865.3499999999999,81.22
中彰投,2016,11,11.06,520.8100000000001,729.7199999999999,872.9799999999999,81.47
中彰投,2016,12,10.72,526.99,699.31,859.1099999999999,81.19
中彰投,2016,13,10.37,517.39,789.6199999999999,886.15,82.34
中彰投,2016,14,12.05,491.61,826.0,960.8499999999999,81.71
中彰投,2016,15,9.5,446.82000000000005,876.51,995.2599999999999,84.31
中彰投,2016,16,9.14,413.98,922.7,945.27,85.38000000000001
中彰投,2016,17,8.8,374.6,796.7800000000001,846.8700000000001,83.14
中彰投,2016,18,8.45,366.49,817.9300000000001,756.9200000000001,81.80000000000001
中彰投,2016,19,8.02,343.6,816.5,693.3000000000001,82.07000000000001
中彰投,2016,20,7.72,330.08,878.41,677.1800000000001,83.66999999999999
中彰投,2016,21,7.69,343.91999999999996,892.6800000000001,694.7,85.05
中彰投,2016,22,7.14,303.79,809.31,558.07,80.5
中彰投,2016,23,6.47,282.33000000000004,801.28,511.44999999999993,77.22999999999999
中彰投,2016,24,6.01,250.22,670.74,408.82,70.54
中彰投,2016,25,6.3,209.83,628.45,314.85,67.31
中彰投,2016,26,5.84,216.23999999999998,635.41,325.18,69.83
中彰投,2016,27,5.7,218.13,635.39,340.91999999999996,71.00999999999999
中彰投,2016,28,5.42,209.64,641.65,339.2,71.44999999999999
中彰投,2016,29,5.92,204.59,617.95,349.03,69.5
中彰投,2016,30,5.57,204.47,642.03,387.98999999999995,70.84
中彰投,2016,31,5.82,208.47,684.4100000000001,413.73,70.92
中彰投,2016,32,5.9,228.36,748.82,478.58,75.87
中彰投,2016,33,6.04,241.52,791.05,475.42999999999995,76.82000000000001
中彰投,2016,34,6.49,245.11999999999998,841.7900000000001,507.69,76.9
中彰投,2016,35,6.66,256.36,936.1,600.9499999999999,78.89
中彰投,2016,36,6.89,255.8,892.32,557.78,74.36
中彰投,2016,37,6.44,260.04999999999995,867.08,556.15,73.92
中彰投,2016,38,6.11,276.57000000000005,858.67,520.33,72.01
中彰投,2016,39,7.47,276.0,721.6300000000001,428.22,69.08000000000001
中彰投,2016,40,6.23,300.78999999999996,757.21,540.36,75.32000000000001
中彰投,2016,41,6.31,308.53000000000003,772.22,549.29,73.89
中彰投,2016,42,7.02,331.12,809.5300000000001,720.56,81.12
中彰投,2016,43,7.09,352.2,803.47,776.96,87.07
中彰投,2016,44,7.39,351.84000000000003,839.98,743.99,83.92999999999999
中彰投,2016,45,8.29,386.2099999999999,899.8299999999999,834.52,89.61000000000001
中彰投,2016,46,8.25,417.30999999999995,858.2099999999999,815.72,87.98
中彰投,2016,47,7.97,439.0,834.51,796.8199999999999,84.46
中彰投,2016,48,7.62,462.81,763.0,774.25,83.53999999999999
中彰投,2016,49,8.13,468.99,723.5,776.4300000000001,82.83
中彰投,2016,50,8.48,455.52000000000004,692.02,679.86,78.32
中彰投,2016,51,9.0,469.78000000000003,721.27,751.68,79.35
中彰投,2016,52,9.16,475.94,736.19,812.4999999999999,80.4
中彰投,2017,1,9.29,477.24,724.0999999999999,903.25,78.97
中彰投,2017,2,9.44,480.15000000000003,711.1,916.9699999999999,79.13999999999999
中彰投,2017,3,9.4,450.2,704.54,822.22,74.59
中彰投,2017,4,10.72,438.47,738.14,808.6200000000001,74.71
中彰投,2017,5,8.22,404.58,771.98,674.47,71.66999999999999
中彰投,2017,6,10.56,383.58000000000004,818.89,708.8,71.03999999999999
中彰投,2017,7,10.71,406.36,872.55,789.1500000000001,75.27
中彰投,2017,8,8.59,415.81,846.33,810.3799999999999,74.03999999999999
中彰投,2017,9,9.16,449.6,881.98,881.55,77.88
中彰投,2017,10,9.4,476.78,883.8199999999999,893.56,78.7
中彰投,2017,11,9.24,466.97,879.44,893.63,76.33
中彰投,2017,12,9.09,461.25,944.39,894.24,78.41999999999999
中彰投,2017,13,9.44,456.59000000000003,989.6000000000001,921.3600000000001,78.72999999999999
中彰投,2017,14,10.38,430.62,1069.75,920.21,80.2
中彰投,2017,15,8.8,424.42,1026.74,862.5699999999999,80.03999999999999
中彰投,2017,16,7.79,389.17,969.97,816.3199999999999,78.72
中彰投,2017,17,8.26,384.88,959.74,759.9899999999999,79.35
中彰投,2017,18,8.03,387.55,895.23,720.5,79.68
中彰投,2017,19,7.43,363.86,927.32,715.37,82.78
中彰投,2017,20,7.49,380.29,980.84,676.84,83.41
中彰投,2017,21,7.36,357.21,926.58,617.4599999999999,81.86
中彰投,2017,22,6.51,320.3,883.34,514.87,77.65
中彰投,2017,23,6.68,301.76,832.26,452.12,74.17
中彰投,2017,24,6.68,267.13,704.63,386.31999999999994,69.89
中彰投,2017,25,6.92,236.03,590.24,324.58,64.59
中彰投,2017,26,6.73,226.24,550.8,318.19,65.28
中彰投,2017,27,7.23,217.29000000000002,539.13,278.32,62.470000000000006
中彰投,2017,28,7.15,219.56,585.51,309.46,66.62
中彰投,2017,29,6.95,230.56,687.87,361.73,71.44
中彰投,2017,30,6.61,237.95999999999998,741.41,419.28000000000003,76.05
中彰投,2017,31,6.03,230.10000000000002,749.81,437.62,75.88
