region,year,week,case_per_capita(‰),O3_sum,PM10_sum,PM25_sum,SO2_sum
中彰投,2016,4,1.59,620.25,1247.88,676.72,75.57
中彰投,2016,5,1.81,646.4,1092.05,584.88,72.07
中彰投,2016,6,2.31,741.8299999999999,1229.4299999999998,679.52,74.94
中彰投,2016,7,1.68,740.01,1199.74,657.3000000000001,74.06
中彰投,2016,8,2.72,764.53,1365.5400000000002,762.74,74.32
中彰投,2016,9,2.39,825.69,1605.85,887.6500000000001,79.77
中彰投,2016,10,2.37,732.38,1560.5,865.3499999999999,81.22
中彰投,2016,11,2.36,729.7199999999999,1558.76,872.9799999999999,81.47
中彰投,2016,12,1.98,699.31,1508.34,859.1099999999999,81.19
中彰投,2016,13,1.81,789.6199999999999,1500.14,886.15,82.34
中彰投,2016,14,2.24,826.0,1616.73,960.8499999999999,81.71
中彰投,2016,15,1.77,876.51,1674.5500000000002,995.2599999999999,84.31
中彰投,2016,16,1.92,922.7,1613.1,945.27,85.38000000000001
中彰投,2016,17,1.75,796.7800000000001,1470.0700000000002,846.8700000000001,83.14
中彰投,2016,18,1.67,817.9300000000001,1343.55,756.9200000000001,81.80000000000001
中彰投,2016,19,1.69,816.5,1273.53,693.3000000000001,82.07000000000001
中彰投,2016,20,1.54,878.41,1258.44,677.1800000000001,83.66999999999999
中彰投,2016,21,1.65,892.6800000000001,1278.2,694.7,85.05
中彰投,2016,22,1.42,809.31,1102.17,558.07,80.5
中彰投,2016,23,1.44,801.28,1028.48,511.44999999999993,77.22999999999999
中彰投,2016,24,1.26,670.74,865.97,408.82,70.54
中彰投,2016,25,1.3,628.45,747.81,314.85,67.31
中彰投,2016,26,1.29,635.41,748.88,325.18,69.83
中彰投,2016,27,1.17,635.39,781.6800000000001,340.91999999999996,71.00999999999999
中彰投,2016,28,1.25,641.65,769.17,339.2,71.44999999999999
中彰投,2016,29,1.15,617.95,769.1,349.03,69.5
中彰投,2016,30,1.16,642.03,805.44,387.98999999999995,70.84
中彰投,2016,31,1.22,684.4100000000001,835.2200000000001,413.73,70.92
中彰投,2016,32,1.31,748.82,933.5900000000001,478.58,75.87
中彰投,2016,33,1.19,791.05,930.9100000000001,475.42999999999995,76.82000000000001
中彰投,2016,34,1.24,841.7900000000001,1002.1700000000001,507.69,76.9
中彰投,2016,35,1.22,936.1,1147.28,600.9499999999999,78.89
中彰投,2016,36,1.25,892.32,1078.58,557.78,74.36
