region,year,week,case_per_capita(‰),O3_sum,PM10_sum,PM25_sum,SO2_sum
中彰投,2016,2,47.73,306.47,663.26,360.88,38.25
中彰投,2016,3,47.97,323.23,606.08,342.41999999999996,37.47
中彰投,2016,4,49.15,313.78,584.62,315.84000000000003,37.32
中彰投,2016,5,57.13,323.16999999999996,485.96999999999997,242.46,34.6
中彰投,2016,6,72.47,428.04999999999995,644.81,363.68,37.620000000000005
中彰投,2016,7,38.59,416.84000000000003,713.77,414.84000000000003,39.46
中彰投,2016,8,76.48,336.48,720.73,399.06,36.7
中彰投,2016,9,71.16,408.85,892.0799999999999,472.81,40.31
中彰投,2016,10,69.69,395.9,839.77,466.28999999999996,44.519999999999996
中彰投,2016,11,59.74,320.87,666.6800000000001,400.16999999999996,41.16
中彰投,2016,12,57.44,303.40999999999997,668.5699999999999,392.82,36.67
中彰投,2016,13,55.18,468.75,833.46,485.98,41.18
中彰投,2016,14,61.74,522.59,948.1600000000001,568.03,45.04
中彰投,2016,15,48.75,407.76,841.09,509.28,43.129999999999995
中彰投,2016,16,47.09,400.11,664.94,377.24,40.34
中彰投,2016,17,44.64,389.02,628.98,337.59000000000003,40.010000000000005
中彰投,2016,18,43.91,417.82,678.6099999999999,379.68,41.46
中彰投,2016,19,41.86,427.48,644.55,355.71000000000004,42.06
中彰投,2016,20,40.27,460.59,579.83,297.5,42.209999999999994
中彰投,2016,21,40.53,465.2,633.6500000000001,338.99,42.989999999999995
中彰投,2016,22,36.36,348.72,522.34,260.57,38.29
中彰投,2016,23,33.49,336.08000000000004,394.83000000000004,172.46,34.239999999999995
中彰投,2016,24,31.75,322.02,343.63,148.25,32.25
中彰投,2016,25,33.46,292.37,352.98,142.39,33.07
中彰投,2016,26,31.45,313.39,405.25,176.93,37.58
中彰投,2016,27,31.16,343.02,428.70000000000005,198.53,37.94
中彰投,2016,28,29.87,328.26,363.92,162.26999999999998,33.87
中彰投,2016,29,31.33,274.93,340.4,150.5,31.560000000000002
中彰投,2016,30,30.06,313.77,441.52,225.72,36.97
中彰投,2016,31,30.91,409.48,494.82000000000005,263.23,39.36
中彰投,2016,32,31.79,435.05,492.07000000000005,252.86,38.900000000000006
中彰投,2016,33,32.59,381.57,436.09000000000003,212.2,37.46
中彰投,2016,34,34.21,406.74,510.1,254.82999999999998,38.0
中彰投,2016,35,34.82,554.53,711.19,388.75,41.43
中彰投,2016,36,36.42,485.58,568.48,302.95000000000005,36.36
中彰投,2016,37,34.44,312.55,373.53,167.4,32.49
中彰投,2016,38,32.94,373.09000000000003,493.43000000000006,217.38,35.650000000000006
中彰投,2016,39,39.43,409.08,583.6800000000001,260.82,36.59
中彰投,2016,40,33.09,384.12,643.48,322.98,39.67
中彰投,2016,41,35.76,363.14,562.5999999999999,288.46999999999997,37.3
中彰投,2016,42,38.87,425.41,746.15,397.58,41.45
中彰投,2016,43,38.37,440.33000000000004,894.87,488.49,49.769999999999996
中彰投,2016,44,39.24,414.57,705.28,346.40999999999997,42.480000000000004
中彰投,2016,45,45.19,459.5,704.38,346.03,39.84
中彰投,2016,46,43.6,443.64,878.04,469.31,45.5
中彰投,2016,47,42.4,375.01,839.6600000000001,450.78999999999996,44.62
中彰投,2016,48,41.84,319.36,626.22,304.94,38.04
中彰投,2016,49,43.52,348.49,691.19,325.64,38.21
中彰投,2016,50,44.46,372.65999999999997,767.9000000000001,374.91999999999996,40.28
中彰投,2016,51,45.78,372.78,822.02,426.03999999999996,41.14
中彰投,2016,52,46.52,363.53,848.5699999999999,437.58,40.120000000000005
中彰投,2017,1,45.91,351.32,919.6999999999999,477.21000000000004,37.83
中彰投,2017,2,46.83,347.57,877.98,479.39,39.019999999999996
中彰投,2017,3,48.12,353.22,668.11,345.01,36.76
中彰投,2017,4,52.21,390.57,658.6800000000001,329.23,35.69
中彰投,2017,5,39.71,418.76,677.64,329.46000000000004,34.91
中彰投,2017,6,50.46,428.32,767.0,379.57000000000005,35.349999999999994
中彰投,2017,7,51.04,453.78999999999996,881.96,459.69,40.36
中彰投,2017,8,44.3,418.01,817.26,430.80999999999995,38.69
中彰投,2017,9,45.92,428.19,794.62,421.86,37.519999999999996
中彰投,2017,10,46.02,465.81,818.98,462.75,40.01
中彰投,2017,11,45.63,451.25,803.73,471.77,38.81
中彰投,2017,12,44.52,478.58000000000004,779.94,431.49,38.41
中彰投,2017,13,47.26,538.35,856.6400000000001,449.59000000000003,39.92
中彰投,2017,14,49.46,591.17,909.03,488.72,41.79
中彰投,2017,15,42.41,488.39,751.4100000000001,412.98,40.12
中彰投,2017,16,37.78,378.8,608.27,327.6,36.93
中彰投,2017,17,40.91,471.35,662.61,347.01,39.230000000000004
中彰投,2017,18,40.44,516.4300000000001,743.7,392.9,42.75
中彰投,2017,19,37.45,455.97,733.28,368.36,43.55
中彰投,2017,20,37.09,464.40999999999997,601.81,283.94,40.66
中彰投,2017,21,37.69,470.61,502.40999999999997,249.1,38.31
中彰投,2017,22,33.07,418.93,469.82,230.93,36.989999999999995
中彰投,2017,23,34.53,361.65,419.66999999999996,203.01999999999998,35.86
中彰投,2017,24,34.3,285.7,367.65,155.39,32.9
中彰投,2017,25,38.43,228.59,320.14,121.56,28.73
中彰投,2017,26,37.39,265.1,375.26,162.8,32.38
中彰投,2017,27,36.74,310.53999999999996,364.02,156.76,33.74
中彰投,2017,28,36.52,320.40999999999997,348.40999999999997,146.66,34.24
中彰投,2017,29,35.0,377.33000000000004,441.86,204.97,37.7
中彰投,2017,30,33.32,421.0,515.9200000000001,272.62,41.81
中彰投,2017,31,31.14,372.48,450.62,232.65,38.18
中彰投,2017,32,29.58,289.18,384.85,170.39,30.47
中彰投,2017,33,29.93,274.09,393.79999999999995,189.02,34.269999999999996
中彰投,2017,34,29.95,338.72,450.09999999999997,233.13,39.510000000000005
中彰投,2017,35,30.07,394.39,556.4,292.47,40.35
中彰投,2017,36,30.57,381.92,529.78,276.46,38.86
中彰投,2017,37,31.94,395.31,519.3,259.77,39.36
中彰投,2017,38,32.64,526.9300000000001,697.17,379.0,48.480000000000004
中彰投,2017,39,31.03,511.38,693.67,389.5,49.21
中彰投,2017,40,32.67,440.08000000000004,658.65,344.84000000000003,42.120000000000005
中彰投,2017,41,33.36,450.62,739.1700000000001,366.33000000000004,42.94
中彰投,2017,42,35.33,409.58000000000004,577.59,259.42,36.870000000000005
中彰投,2017,43,41.38,525.77,569.39,260.25,30.08
中彰投,2017,44,41.66,583.3399999999999,685.53,309.9,31.27
中彰投,2017,45,39.85,465.34999999999997,719.78,315.48,33.26
中彰投,2017,46,38.58,372.74,729.93,341.43,36.89
中彰投,2017,47,40.35,334.24,591.0999999999999,272.98,35.42
中彰投,2017,48,39.84,363.94,592.73,274.19,33.09
中彰投,2017,49,42.13,377.0,644.94,317.55,32.9
中彰投,2017,50,46.01,347.59000000000003,627.28,313.07,33.47
中彰投,2017,51,49.14,367.66,657.96,327.47,35.379999999999995
中彰投,2017,52,53.78,407.07000000000005,835.97,448.31000000000006,39.15
中彰投,2018,1,43.05,344.81,869.86,472.64,39.59
中彰投,2018,2,43.92,324.35,602.4200000000001,310.21999999999997,34.120000000000005
中彰投,2018,3,48.41,347.72,638.39,334.35,34.9
